Occupation,n_total,med_weeklypay_tot,n_men,med_weeklypay_men,n_women,med_weeklypay_women,occupation_cat,occupation_subcat
"Religious workers, all other",66,1019,31,,35,,Professional occupations,Community and social service
Lawyers,872,2622,477,2890,395,2321,Professional occupations,Legal
Judicial law clerks,13,,2,,11,,Professional occupations,Legal
"Judges, magistrates, and other judicial workers",56,2292,27,,30,,Professional occupations,Legal
Paralegals and legal assistants,378,1232,59,1896,319,1166,Professional occupations,Legal
"Title examiners, abstractors, and searchers",78,1142,20,,58,962,Professional occupations,Legal
"Legal support workers, all other",66,1280,27,,39,,Professional occupations,Legal
Postsecondary teachers,876,1875,421,1967,455,1739,Professional occupations,"Education, training, and library"
Preschool and kindergarten teachers,504,840,8,,496,835,Professional occupations,"Education, training, and library"
Elementary and middle school teachers,3228,1275,691,1386,2537,1259,Professional occupations,"Education, training, and library"
Secondary school teachers,733,1455,334,1504,400,1405,Professional occupations,"Education, training, and library"
Special education teachers,323,1287,65,1429,257,1261,Professional occupations,"Education, training, and library"
Tutors,29,,3,,26,,Professional occupations,"Education, training, and library"
Other teachers and instructors,562,1189,200,1401,362,1117,Professional occupations,"Education, training, and library"
"Archivists, curators, and museum technicians",61,1329,19,,42,,Professional occupations,"Education, training, and library"
Librarians and media collections specialists,163,1217,24,,140,1162,Professional occupations,"Education, training, and library"
Library technicians,17,,5,,13,,Professional occupations,"Education, training, and library"
Teaching assistants,930,766,176,879,753,745,Professional occupations,"Education, training, and library"
Other educational instruction and library workers,108,1304,27,,81,1274,Professional occupations,"Education, training, and library"
Artists and related workers,82,1516,47,,35,,Professional occupations,"Arts, design, entertainment, sports, and media"
Commercial and industrial designers,16,,11,,5,,Professional occupations,"Arts, design, entertainment, sports, and media"
Fashion designers,20,,6,,15,,Professional occupations,"Arts, design, entertainment, sports, and media"
Floral designers,18,,4,,14,,Professional occupations,"Arts, design, entertainment, sports, and media"
Graphic designers,206,1231,102,1253,103,1166,Professional occupations,"Arts, design, entertainment, sports, and media"
Interior designers,64,1400,13,,51,1402,Professional occupations,"Arts, design, entertainment, sports, and media"
Merchandise displayers and window trimmers,24,,12,,12,,Professional occupations,"Arts, design, entertainment, sports, and media"
Other designers,268,1519,152,1632,116,1429,Professional occupations,"Arts, design, entertainment, sports, and media"
Actors,17,,11,,6,,Professional occupations,"Arts, design, entertainment, sports, and media"
Producers and directors,169,1790,89,1773,80,1802,Professional occupations,"Arts, design, entertainment, sports, and media"
Athletes and sports competitors,31,,28,,3,,Professional occupations,"Arts, design, entertainment, sports, and media"
Coaches and scouts,178,1163,109,1280,69,1128,Professional occupations,"Arts, design, entertainment, sports, and media"
"Umpires, referees, and other sports officials",0,,0,,0,,Professional occupations,"Arts, design, entertainment, sports, and media"
Dancers and choreographers,7,,4,,3,,Professional occupations,"Arts, design, entertainment, sports, and media"
Music directors and composers,29,,23,,6,,Professional occupations,"Arts, design, entertainment, sports, and media"
Musicians and singers,22,,10,,12,,Professional occupations,"Arts, design, entertainment, sports, and media"
"Disc jockeys, except radio",0,,0,,0,,Professional occupations,"Arts, design, entertainment, sports, and media"
"Entertainers and performers, sports and related workers, all other",16,,13,,3,,Professional occupations,"Arts, design, entertainment, sports, and media"
Broadcast announcers and radio disc jockeys,8,,5,,3,,Professional occupations,"Arts, design, entertainment, sports, and media"
"News analysts, reporters, and journalists",67,1871,41,,26,,Professional occupations,"Arts, design, entertainment, sports, and media"
Public relations specialists,106,1830,30,,77,1540,Professional occupations,"Arts, design, entertainment, sports, and media"
Editors,83,1381,34,,49,,Professional occupations,"Arts, design, entertainment, sports, and media"
Technical writers,49,,22,,26,,Professional occupations,"Arts, design, entertainment, sports, and media"
Writers and authors,86,1439,33,,53,1469,Professional occupations,"Arts, design, entertainment, sports, and media"
Interpreters and translators,30,,8,,22,,Professional occupations,"Arts, design, entertainment, sports, and media"
Court reporters and simultaneous captioners,13,,3,,10,,Professional occupations,"Arts, design, entertainment, sports, and media"
"Media and communication workers, all other",22,,13,,9,,Professional occupations,"Arts, design, entertainment, sports, and media"
"Broadcast, sound, and lighting technicians",88,1465,76,1573,12,,Professional occupations,"Arts, design, entertainment, sports, and media"
Photographers,54,1022,31,,23,,Professional occupations,"Arts, design, entertainment, sports, and media"
"Television, video, and film camera operators and editors",79,1800,60,1775,19,,Professional occupations,"Arts, design, entertainment, sports, and media"
"Media and communication equipment workers, all other",2,,2,,0,,Professional occupations,"Arts, design, entertainment, sports, and media"
Chiropractors,10,,8,,2,,Professional occupations,Healthcare practitioners and technical
Dentists,62,3293,42,,21,,Professional occupations,Healthcare practitioners and technical
Dietitians and nutritionists,94,1342,12,,83,1397,Professional occupations,Healthcare practitioners and technical
Optometrists,23,,12,,11,,Professional occupations,Healthcare practitioners and technical
Pharmacists,274,2490,104,2520,170,2471,Professional occupations,Healthcare practitioners and technical
Emergency medicine physicians,20,,15,,5,,Professional occupations,Healthcare practitioners and technical
Radiologists,12,,5,,7,,Professional occupations,Healthcare practitioners and technical
Other physicians,781,3100,447,3133,334,2915,Professional occupations,Healthcare practitioners and technical
Surgeons,61,4749,45,,16,,Professional occupations,Healthcare practitioners and technical
Physician assistants,120,2408,25,,96,2303,Professional occupations,Healthcare practitioners and technical
Podiatrists,4,,4,,0,,Professional occupations,Healthcare practitioners and technical
Audiologists,18,,3,,15,,Professional occupations,Healthcare practitioners and technical
Occupational therapists,104,1594,7,,97,1595,Professional occupations,Healthcare practitioners and technical
Physical therapists,226,1743,81,1828,145,1710,Professional occupations,Healthcare practitioners and technical
Radiation therapists,11,,1,,10,,Professional occupations,Healthcare practitioners and technical
Recreational therapists,10,,1,,9,,Professional occupations,Healthcare practitioners and technical
Respiratory therapists,74,1366,26,,48,,Professional occupations,Healthcare practitioners and technical
Speechlanguage pathologists,129,1573,2,,127,1546,Professional occupations,Healthcare practitioners and technical
Exercise physiologists,3,,3,,0,,Professional occupations,Healthcare practitioners and technical
"Therapists, all other",173,1332,45,,129,1331,Professional occupations,Healthcare practitioners and technical
Veterinarians,51,2302,17,,34,,Professional occupations,Healthcare practitioners and technical
Registered nurses,2896,1563,402,1900,2494,1517,Professional occupations,Healthcare practitioners and technical
Nurse anesthetists,13,,3,,10,,Professional occupations,Healthcare practitioners and technical
Nurse midwives,7,,0,,7,,Professional occupations,Healthcare practitioners and technical
Nurse practitioners,245,2373,22,,223,2339,Professional occupations,Healthcare practitioners and technical
Acupuncturists,2,,0,,2,,Professional occupations,Healthcare practitioners and technical
"Healthcare diagnosing or treating practitioners, all other",2,,0,,1,,Professional occupations,Healthcare practitioners and technical
Clinical laboratory technologists and technicians,258,1233,94,1438,164,1183,Professional occupations,Healthcare practitioners and technical
Dental hygienists,108,1496,11,,97,1421,Professional occupations,Healthcare practitioners and technical
Cardiovascular technologists and technicians,63,1198,17,,46,,Professional occupations,Healthcare practitioners and technical
Diagnostic medical sonographers,87,1786,13,,74,1786,Professional occupations,Healthcare practitioners and technical
Radiologic technologists and technicians,223,1350,76,1478,147,1221,Professional occupations,Healthcare practitioners and technical
Magnetic resonance imaging technologists,66,1436,15,,51,1425,Professional occupations,Healthcare practitioners and technical
Nuclear medicine technologists and medical dosimetrists,36,,17,,18,,Professional occupations,Healthcare practitioners and technical
Emergency medical technicians,127,1013,84,1016,43,,Professional occupations,Healthcare practitioners and technical
Paramedics,107,1636,80,1627,27,,Professional occupations,Healthcare practitioners and technical
Pharmacy technicians,268,925,58,1030,210,909,Professional occupations,Healthcare practitioners and technical
Psychiatric technicians,95,1069,28,,67,917,Professional occupations,Healthcare practitioners and technical
Surgical technologists,84,1231,21,,63,1198,Professional occupations,Healthcare practitioners and technical
Veterinary technologists and technicians,108,835,14,,93,849,Professional occupations,Healthcare practitioners and technical
Dietetic technicians and ophthalmic medical technicians,54,700,14,,41,,Professional occupations,Healthcare practitioners and technical
Licensed practical and licensed vocational nurses,451,1084,49,,402,1085,Professional occupations,Healthcare practitioners and technical
Medical records specialists,163,1027,14,,149,1006,Professional occupations,Healthcare practitioners and technical
"Opticians, dispensing",33,,10,,23,,Professional occupations,Healthcare practitioners and technical
Miscellaneous health technologists and technicians,107,1204,40,,67,1172,Professional occupations,Healthcare practitioners and technical
Other healthcare practitioners and technical occupations,122,1324,43,,79,1262,Professional occupations,Healthcare practitioners and technical
Home health aides,364,752,41,,323,752,Service occupations,Healthcare support
Personal care aides,1067,748,218,767,849,743,Service occupations,Healthcare support
Nursing assistants,1029,764,141,792,888,760,Service occupations,Healthcare support
Orderlies and psychiatric aides,52,817,16,,36,,Service occupations,Healthcare support
Occupational therapy assistants and aides,22,,1,,21,,Service occupations,Healthcare support
Physical therapist assistants and aides,78,1080,36,,43,,Service occupations,Healthcare support
Massage therapists,55,904,23,,32,,Service occupations,Healthcare support
Dental assistants,183,845,14,,169,839,Service occupations,Healthcare support
Medical assistants,557,862,57,1073,500,841,Service occupations,Healthcare support
